Latitude (decimal degrees):	44.852
Longitude (decimal degrees):	11.207
Elevation (m):	14
Radiation database:	PVGIS-SARAH3


Slope: 39 deg. (optimum)
Azimuth: 0 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	6.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230314:1510,1874.58,237.36,150.78,6.48,21.18,16.09,2.9,0.0
20230314:1610,945.48,142.75,72.87,3.38,11.27,15.11,2.48,0.0
20230314:1710,0.0,0.0,0.0,0.0,0.0,14.05,2.14,0.0
20230314:1810,0.0,0.0,0.0,0.0,0.0,12.82,2.0,0.0
20230314:1910,0.0,0.0,0.0,0.0,0.0,12.37,2.48,0.0
20230314:2010,0.0,0.0,0.0,0.0,0.0,11.71,2.14,0.0
20230314:2110,0.0,0.0,0.0,0.0,0.0,11.06,1.93,0.0
20230314:2210,0.0,0.0,0.0,0.0,0.0,10.62,1.86,0.0
20230314:2310,0.0,0.0,0.0,0.0,0.0,10.19,1.72,0.0
20230315:0010,0.0,0.0,0.0,0.0,0.0,9.31,1.72,0.0
20230315:0110,0.0,0.0,0.0,0.0,0.0,8.49,1.59,0.0
20230315:0210,0.0,0.0,0.0,0.0,0.0,7.71,1.24,0.0
20230315:0310,0.0,0.0,0.0,0.0,0.0,7.36,1.66,0.0
20230315:0410,0.0,0.0,0.0,0.0,0.0,7.64,1.66,0.0
20230315:0510,0.0,0.0,0.0,0.0,0.0,6.87,1.79,0.0
20230315:0610,229.92,23.7,40.94,1.25,6.55,7.0,1.31,0.0
20230315:0710,1793.46,270.16,98.5,5.77,16.8,8.62,1.79,0.0
20230315:0810,2691.42,388.74,166.05,8.96,26.26,10.33,0.9,0.0
20230315:0910,3366.6,464.91,232.82,11.51,34.33,10.79,2.14,0.0
20230315:1010,2260.2,139.64,314.44,9.41,40.19,11.51,3.24,0.0
20230315:1110,242.64,0.0,62.13,1.56,42.91,12.67,3.03,0.0
20230315:1210,4485.78,801.97,182.31,15.49,41.93,13.59,2.62,0.0
20230315:1310,4140.9,744.9,157.48,14.13,37.46,14.11,2.21,0.0
20230315:1410,3413.82,584.6,141.54,11.35,30.33,14.27,1.79,0.0
20230315:1510,2303.52,361.5,119.32,7.55,21.44,14.14,1.38,0.0
20230315:1610,939.96,139.65,74.15,3.42,11.51,13.68,1.24,0.0
20230315:1710,0.0,0.0,0.0,0.0,0.0,12.49,1.93,0.0
20230315:1810,0.0,0.0,0.0,0.0,0.0,10.64,2.34,0.0
20230315:1910,0.0,0.0,0.0,0.0,0.0,11.61,0.62,0.0
20230315:2010,0.0,0.0,0.0,0.0,0.0,10.21,0.97,0.0
20230315:2110,0.0,0.0,0.0,0.0,0.0,8.4,1.24,0.0
20230315:2210,0.0,0.0,0.0,0.0,0.0,5.89,2.21,0.0
20230315:2310,0.0,0.0,0.0,0.0,0.0,5.6,2.55,0.0
20230316:0010,0.0,0.0,0.0,0.0,0.0,5.83,2.69,0.0
20230316:0110,0.0,0.0,0.0,0.0,0.0,5.73,2.55,0.0
20230316:0210,0.0,0.0,0.0,0.0,0.0,5.14,2.28,0.0
20230316:0310,0.0,0.0,0.0,0.0,0.0,4.3,2.07,0.0
20230316:0410,0.0,0.0,0.0,0.0,0.0,3.62,2.07,0.0
20230316:0510,0.0,0.0,0.0,0.0,0.0,3.08,2.0,0.0
20230316:0610,340.02,45.59,44.8,1.59,6.88,2.93,2.0,0.0
20230316:0710,1730.88,245.14,107.25,5.68,17.14,5.83,1.03,0.0
20230316:0810,2941.08,459.53,144.54,9.61,26.62,9.45,1.38,0.0
20230316:0910,3879.12,649.89,164.59,12.9,34.71,11.08,2.62,0.0
20230316:1010,4468.14,778.73,176.63,15.11,40.59,12.1,3.45,0.0
20230316:1110,4697.22,835.28,182.46,16.09,43.31,12.86,3.59,0.0
20230316:1210,4633.26,825.61,176.35,15.82,42.3,13.28,3.66,0.0
20230316:1310,4071.0,673.0,190.64,13.77,37.79,13.47,3.38,0.0
20230316:1410,3463.98,572.3,148.91,11.4,30.62,13.43,3.1,0.0
20230316:1510,2354.94,360.19,122.13,7.67,21.7,13.22,3.1,0.0
20230316:1610,1006.44,150.5,74.72,3.62,11.74,12.41,3.45,0.0
20230316:1710,0.0,0.0,0.0,0.0,0.0,10.81,3.45,0.0
20230316:1810,0.0,0.0,0.0,0.0,0.0,9.13,3.24,0.0
20230316:1910,0.0,0.0,0.0,0.0,0.0,8.74,2.83,0.0
20230316:2010,0.0,0.0,0.0,0.0,0.0,7.79,2.62,0.0
20230316:2110,0.0,0.0,0.0,0.0,0.0,6.95,2.34,0.0
20230316:2210,0.0,0.0,0.0,0.0,0.0,6.11,2.14,0.0
20230316:2310,0.0,0.0,0.0,0.0,0.0,5.18,2.14,0.0
20230317:0010,0.0,0.0,0.0,0.0,0.0,4.35,2.14,0.0
20230317:0110,0.0,0.0,0.0,0.0,0.0,3.68,2.07,0.0
20230317:0210,0.0,0.0,0.0,0.0,0.0,3.19,2.07,0.0
20230317:0310,0.0,0.0,0.0,0.0,0.0,2.82,2.0,0.0
20230317:0410,0.0,0.0,0.0,0.0,0.0,2.48,1.93,0.0
20230317:0510,0.0,0.0,0.0,0.0,0.0,2.14,1.86,0.0
20230317:0610,331.5,39.22,47.51,1.61,7.22,2.13,1.72,0.0
20230317:0710,1712.16,235.61,111.25,5.7,17.49,5.13,1.1,0.0
20230317:0810,2949.06,457.94,144.74,9.68,26.98,8.69,1.45,0.0
20230317:0910,3763.14,619.0,175.54,12.74,35.1,10.68,1.86,0.0
20230317:1010,4286.88,727.58,198.09,14.84,40.99,11.95,2.41,0.0
20230317:1110,4557.54,819.94,187.23,16.05,43.71,12.87,2.28,0.0
20230317:1210,4417.32,787.29,190.09,15.6,42.68,13.56,2.07,0.0
20230317:1310,3876.84,630.86,207.84,13.57,38.13,14.03,1.93,0.0
20230317:1410,3159.42,479.36,184.27,10.82,30.91,14.24,2.0,0.0
20230317:1510,1809.72,207.17,165.63,6.57,21.96,14.13,2.14,0.0
20230317:1610,677.22,67.66,86.98,2.93,11.98,13.57,2.21,0.0
20230317:1710,0.0,0.0,0.0,0.0,0.0,12.11,2.28,0.0
20230317:1810,0.0,0.0,0.0,0.0,0.0,10.17,2.69,0.0
20230317:1910,0.0,0.0,0.0,0.0,0.0,8.94,2.14,0.0
20230317:2010,0.0,0.0,0.0,0.0,0.0,7.64,1.72,0.0
20230317:2110,0.0,0.0,0.0,0.0,0.0,6.45,1.38,0.0
20230317:2210,0.0,0.0,0.0,0.0,0.0,6.59,1.03,0.0
20230317:2310,0.0,0.0,0.0,0.0,0.0,7.12,0.69,0.0
20230318:0010,0.0,0.0,0.0,0.0,0.0,6.8,0.34,0.0
20230318:0110,0.0,0.0,0.0,0.0,0.0,6.49,0.14,0.0
20230318:0210,0.0,0.0,0.0,0.0,0.0,6.18,0.34,0.0
20230318:0310,0.0,0.0,0.0,0.0,0.0,5.71,0.55,0.0
20230318:0410,0.0,0.0,0.0,0.0,0.0,5.2,0.76,0.0
20230318:0510,0.0,0.0,0.0,0.0,0.0,3.32,1.24,0.0
20230318:0610,426.72,63.62,47.15,1.92,7.55,2.6,1.31,0.0
20230318:0710,1747.98,248.16,108.13,5.88,17.83,5.06,0.28,0.0
20230318:0810,2578.32,341.59,187.47,8.96,27.35,8.69,0.34,0.0
20230318:0910,3053.82,382.87,261.21,11.2,35.48,11.24,0.48,0.0
20230318:1010,4204.2,765.51,181.88,15.2,41.39,13.05,0.76,0.0
20230318:1110,4432.14,831.86,183.24,16.25,44.11,14.37,1.03,0.0
20230318:1210,4425.18,854.9,162.04,16.2,43.05,15.34,1.1,0.0
20230318:1310,3999.54,733.44,163.6,14.35,38.46,15.94,1.1,0.0
20230318:1410,3291.6,561.21,151.66,11.47,31.2,16.26,1.1,0.0
20230318:1510,2277.54,357.65,122.81,7.8,22.22,16.22,1.31,0.0
20230318:1610,961.92,142.84,77.12,3.69,12.22,15.78,1.79,0.0
20230318:1710,0.0,0.0,3.55,0.09,1.71,14.14,2.34,0.0
20230318:1810,0.0,0.0,0.0,0.0,0.0,11.91,2.83,0.0
20230318:1910,0.0,0.0,0.0,0.0,0.0,10.41,2.62,0.0
20230318:2010,0.0,0.0,0.0,0.0,0.0,9.42,2.21,0.0
20230318:2110,0.0,0.0,0.0,0.0,0.0,8.61,1.79,0.0
20230318:2210,0.0,0.0,0.0,0.0,0.0,7.7,1.45,0.0
20230318:2310,0.0,0.0,0.0,0.0,0.0,7.06,1.45,0.0
20230319:0010,0.0,0.0,0.0,0.0,0.0,6.45,1.45,0.0
20230319:0110,0.0,0.0,0.0,0.0,0.0,6.08,1.24,0.0
20230319:0210,0.0,0.0,0.0,0.0,0.0,5.64,1.24,0.0
20230319:0310,0.0,0.0,0.0,0.0,0.0,5.11,1.31,0.0
20230319:0410,0.0,0.0,0.0,0.0,0.0,5.43,0.97,0.0
20230319:0510,0.0,0.0,0.0,0.0,0.0,5.66,0.83,0.0
20230319:0610,24.06,0.0,13.31,0.34,7.89,5.32,1.03,0.0
20230319:0710,433.56,4.29,93.72,2.41,18.18,7.2,0.41,0.0
20230319:0810,973.68,22.75,179.26,4.78,27.71,9.78,0.69,0.0
20230319:0910,2562.42,248.13,281.56,9.97,35.86,11.77,0.83,0.0
20230319:1010,3364.02,417.76,304.73,12.74,41.79,13.22,0.9,0.0
20230319:1110,3024.48,301.5,345.61,12.18,44.51,14.37,0.69,0.0
20230319:1210,2259.72,144.41,332.33,9.99,43.42,15.52,0.28,0.0
20230319:1310,2343.12,188.46,305.68,9.83,38.79,15.75,0.48,0.0
20230319:1410,1608.42,95.12,239.31,7.11,31.49,16.03,1.17,0.0
20230319:1510,992.82,49.9,161.76,4.65,22.47,16.21,1.24,0.0
20230319:1610,263.64,4.33,63.54,1.65,12.45,16.1,1.1,0.0
20230319:1710,0.0,0.0,0.89,0.02,1.94,15.11,1.52,0.0
20230319:1810,0.0,0.0,0.0,0.0,0.0,13.74,1.93,0.0
20230319:1910,0.0,0.0,0.0,0.0,0.0,12.08,1.45,0.0
20230319:2010,0.0,0.0,0.0,0.0,0.0,11.48,1.24,0.0
20230319:2110,0.0,0.0,0.0,0.0,0.0,10.96,1.52,0.0
20230319:2210,0.0,0.0,0.0,0.0,0.0,10.72,1.45,0.0
20230319:2310,0.0,0.0,0.0,0.0,0.0,10.29,1.45,0.0
20230320:0010,0.0,0.0,0.0,0.0,0.0,9.91,1.52,0.0
20230320:0110,0.0,0.0,0.0,0.0,0.0,9.95,1.45,0.0
20230320:0210,0.0,0.0,0.0,0.0,0.0,9.8,1.31,0.0
20230320:0310,0.0,0.0,0.0,0.0,0.0,9.58,1.45,0.0
20230320:0410,0.0,0.0,0.0,0.0,0.0,9.47,1.59,0.0
20230320:0510,0.0,0.0,0.0,0.0,0.0,9.24,1.52,0.0
20230320:0610,180.54,7.1,43.47,1.18,8.22,9.16,1.52,0.0
20230320:0710,820.62,42.33,130.98,3.8,18.52,9.8,2.21,0.0
20230320:0810,1847.64,152.11,218.65,7.29,28.07,10.65,2.55,0.0
20230320:0910,2523.18,229.4,284.07,9.83,36.25,11.8,2.14,0.0
20230320:1010,1570.2,40.8,280.1,7.53,42.19,12.86,1.86,0.0
20230320:1110,1039.68,2.81,215.14,5.45,44.91,13.62,1.52,0.0
20230320:1210,2246.4,133.65,332.01,9.88,43.8,14.22,1.17,0.0
20230320:1310,3118.98,382.74,285.98,11.89,39.12,14.97,0.9,0.0
20230320:1410,1657.92,101.37,242.98,7.29,31.78,15.32,0.83,0.0
20230320:1510,821.82,26.78,150.57,4.11,22.73,15.21,0.76,0.0
20230320:1610,614.76,53.74,88.78,2.88,12.69,15.02,0.55,0.0
20230320:1710,0.0,0.0,4.44,0.11,2.17,14.48,0.21,0.0
20230320:1810,0.0,0.0,0.0,0.0,0.0,13.29,0.69,0.0
20230320:1910,0.0,0.0,0.0,0.0,0.0,12.21,0.76,0.0
20230320:2010,0.0,0.0,0.0,0.0,0.0,12.13,0.14,0.0
20230320:2110,0.0,0.0,0.0,0.0,0.0,10.06,1.03,0.0
20230320:2210,0.0,0.0,0.0,0.0,0.0,9.07,1.24,0.0
20230320:2310,0.0,0.0,0.0,0.0,0.0,8.53,1.1,0.0
20230321:0010,0.0,0.0,0.0,0.0,0.0,8.94,0.76,0.0
20230321:0110,0.0,0.0,0.0,0.0,0.0,8.58,0.76,0.0
20230321:0210,0.0,0.0,0.0,0.0,0.0,7.1,1.17,0.0
20230321:0310,0.0,0.0,0.0,0.0,0.0,6.07,1.45,0.0
20230321:0410,0.0,0.0,0.0,0.0,0.0,5.78,1.38,0.0
20230321:0510,0.0,0.0,0.0,0.0,0.0,5.5,1.38,0.0
20230321:0610,423.54,52.37,55.56,2.08,8.56,5.75,1.24,0.0
20230321:0710,0.0,0.0,0.0,0.0,0.0,8.9,0.97,0.0
20230321:0810,0.0,0.0,0.0,0.0,0.0,12.41,1.24,0.0
20230321:0910,3774.18,662.21,159.88,13.46,36.63,14.62,1.45,0.0
20230321:1010,4202.4,779.98,173.95,15.56,42.59,16.11,1.17,0.0
20230321:1110,4332.6,845.84,172.73,16.56,45.3,17.27,0.62,0.0
20230321:1210,4291.08,875.13,149.21,16.58,44.17,18.11,0.28,0.0
20230321:1310,3876.24,743.44,155.57,14.64,39.45,18.7,0.28,0.0
20230321:1410,3099.66,522.21,162.7,11.35,32.07,18.98,0.41,0.0
20230321:1510,2192.94,347.04,125.71,7.93,22.98,18.99,0.48,0.0
20230321:1610,859.14,113.7,86.19,3.64,12.92,18.66,0.69,0.0
20230321:1710,0.0,0.0,4.44,0.11,2.39,17.51,1.38,0.0
20230321:1810,0.0,0.0,0.0,0.0,0.0,14.91,2.0,0.0
20230321:1910,0.0,0.0,0.0,0.0,0.0,13.13,2.0,0.0
20230321:2010,0.0,0.0,0.0,0.0,0.0,11.88,2.0,0.0
20230321:2110,0.0,0.0,0.0,0.0,0.0,10.87,1.93,0.0
20230321:2210,0.0,0.0,0.0,0.0,0.0,10.2,1.66,0.0
20230321:2310,0.0,0.0,0.0,0.0,0.0,11.42,0.97,0.0
20230322:0010,0.0,0.0,0.0,0.0,0.0,11.41,0.62,0.0
20230322:0110,0.0,0.0,0.0,0.0,0.0,9.27,1.38,0.0
20230322:0210,0.0,0.0,0.0,0.0,0.0,8.32,1.52,0.0
20230322:0310,0.0,0.0,0.0,0.0,0.0,8.07,1.38,0.0
20230322:0410,0.0,0.0,0.0,0.0,0.0,7.94,1.31,0.0
20230322:0510,0.0,0.0,0.0,0.0,0.0,7.56,1.31,0.0
20230322:0610,513.36,77.68,53.82,2.44,8.89,7.64,1.24,0.0
20230322:0710,0.0,0.0,0.0,0.0,0.0,10.2,0.34,0.0
20230322:0810,2800.8,434.21,159.02,10.01,28.8,13.51,0.41,0.0
20230322:0910,3608.22,632.44,172.17,13.32,37.01,16.25,0.48,0.0
20230322:1010,4082.58,763.87,182.34,15.56,42.99,17.95,0.62,0.0
20230322:1110,4273.62,828.17,182.5,16.56,45.7,19.1,0.69,0.0
20230322:1210,4320.9,872.46,151.01,16.67,44.54,19.94,0.9,0.0
20230322:1310,3883.44,727.26,164.11,14.64,39.77,20.45,1.03,0.0
20230322:1410,3183.48,548.41,155.21,11.69,32.35,20.69,1.1,0.0
20230322:1510,2185.86,344.57,127.15,8.0,23.23,20.64,1.1,0.0
20230322:1610,970.5,148.23,78.52,4.02,13.15,20.05,1.31,0.0
20230322:1710,5.76,0.0,7.99,0.2,2.61,18.31,2.0,0.0
20230322:1810,0.0,0.0,0.0,0.0,0.0,15.85,2.48,0.0
20230322:1910,0.0,0.0,0.0,0.0,0.0,14.66,2.21,0.0
20230322:2010,0.0,0.0,0.0,0.0,0.0,13.0,1.93,0.0
20230322:2110,0.0,0.0,0.0,0.0,0.0,11.5,1.59,0.0
20230322:2210,0.0,0.0,0.0,0.0,0.0,11.31,1.24,0.0
20230322:2310,0.0,0.0,0.0,0.0,0.0,11.11,1.17,0.0
20230323:0010,0.0,0.0,0.0,0.0,0.0,9.93,1.38,0.0
20230323:0110,0.0,0.0,0.0,0.0,0.0,9.95,1.17,0.0
20230323:0210,0.0,0.0,0.0,0.0,0.0,9.67,0.97,0.0
20230323:0310,0.0,0.0,0.0,0.0,0.0,7.82,1.52,0.0
20230323:0410,0.0,0.0,0.0,0.0,0.0,7.21,1.45,0.0
20230323:0510,0.0,0.0,0.0,0.0,0.0,7.11,1.31,0.0
20230323:0610,301.92,19.55,57.53,1.72,9.23,7.2,1.17,0.0
20230323:0710,1139.88,89.46,146.93,4.83,19.56,10.13,1.38,0.0
